Date,Time,Year,Month,Hour,Holiday,Working Day,Weekday,Temperature,Station ID,Station Location,User ID,User Age,User Gender,Trip Duration,Trip Start Time,Trip End Time,Season,Weather Conditions,Rider Type,Bike Type
2022-01-01,08:00,2022,January,8,Yes,No,Saturday,20.7,ST006,Hitech City,U0001,20,Male,41,08:00,08:41,Winter,Cold,Subscriber,Premium Bike
2022-01-01,09:00,2022,January,9,Yes,No,Saturday,19.1,ST006,Hitech City,U0002,31,Female,21,09:00,09:21,Winter,Cold,Subscriber,Standard Bike
2022-01-01,10:00,2022,January,10,Yes,No,Saturday,21.0,ST009,Kukatpally,U0003,43,Male,33,10:00,10:33,Winter,Cold,Casual,Standard Bike
2022-01-01,11:00,2022,January,11,Yes,No,Saturday,19.6,ST002,Gachibowli,U0004,27,Female,15,11:00,11:15,Winter,Cold,Casual,Premium Bike
2022-01-01,12:00,2022,January,12,Yes,No,Saturday,18.8,ST004,Madhapur,U0005,64,Male,43,12:00,12:43,Winter,Cold,Casual,Electric Bike
2022-01-01,13:00,2022,January,13,Yes,No,Saturday,15.1,ST005,Begumpet,U0006,41,Male,41,13:00,13:41,Winter,Cold,Subscriber,Premium Bike
2022-01-01,14:00,2022,January,14,Yes,No,Saturday,23.7,ST010,Secunderabad,U0007,49,Female,59,14:00,14:59,Winter,Cold,Casual,Premium Bike
2022-01-01,15:00,2022,January,15,Yes,No,Saturday,21.1,ST009,Kukatpally,U0008,52,Female,16,15:00,15:16,Winter,Cold,Casual,Premium Bike
2022-01-01,16:00,2022,January,16,Yes,No,Saturday,24.4,ST009,Kukatpally,U0009,35,Female,42,16:00,16:42,Winter,Cold,Casual,Electric Bike
2022-01-01,17:00,2022,January,17,Yes,No,Saturday,19.2,ST008,Shamshabad,U0010,50,Female,50,17:00,17:50,Winter,Cold,Casual,Premium Bike
2022-01-01,18:00,2022,January,18,Yes,No,Saturday,15.5,ST007,Kondapur,U0011,28,Female,48,18:00,18:48,Winter,Cold,Subscriber,Standard Bike
2022-01-01,19:00,2022,January,19,Yes,No,Saturday,21.6,ST008,Shamshabad,U0012,26,Male,30,19:00,19:30,Winter,Cold,Casual,Electric Bike
2022-01-01,20:00,2022,January,20,Yes,No,Saturday,20.9,ST003,Jubilee Hills,U0013,37,Male,47,20:00,20:47,Winter,Cold,Subscriber,Electric Bike
2022-01-02,08:00,2022,January,8,Yes,No,Sunday,19.9,ST005,Begumpet,U0014,56,Male,44,08:00,08:44,Winter,Cold,Casual,Standard Bike
2022-01-02,09:00,2022,January,9,Yes,No,Sunday,16.8,ST010,Secunderabad,U0015,43,Female,60,09:00,10:00,Winter,Cold,Subscriber,Standard Bike
2022-01-02,10:00,2022,January,10,Yes,No,Sunday,15.9,ST004,Madhapur,U0016,21,Female,21,10:00,10:21,Winter,Cold,Subscriber,Standard Bike
